# guest=45684 ir=276985 host_bytes=1636864 ir/guest=6.06 hostinsn/guest=8.96 dyn_total=650398

mnemonic	form	mem	bits	n	%n	ir/g	hostI/g	%IR	%host	dyn%	dyn_host%	top IR ops (per guest insn)
MOVSX	r,m	[b+i*s+d]	64	1	0.00	7.00	6.00	0.00	0.00	0.00	0.00	StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 BitCastx1.0 AdvancePCx1.0
CVTSS2SI	r,r	-	32	1	0.00	6.00	20.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 VecFCvtFloatToIntx1.0 StoreUniformx1.0
MOVBE	r,m	[b+d]	16	1	0.00	6.00	5.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 ByteSwapx1.0 LoadMemoryx1.0 GetOperandx1.0
MOVBE	r,m	[b]	64	1	0.00	6.00	4.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 ByteSwapx1.0 LoadMemoryx1.0 GetOperandx1.0
MOVBE	m,r	[b+d]	16	1	0.00	6.00	5.00	0.00	0.00	0.00	0.00	StoreMemoryx1.0 ByteSwapx1.0 GetOperandx1.0 GetHostGPRx1.0 AdvancePCx1.0
MOVBE	m,r	[b+d]	32	1	0.00	6.00	5.00	0.00	0.00	0.00	0.00	StoreMemoryx1.0 ByteSwapx1.0 GetOperandx1.0 GetHostGPRx1.0 AdvancePCx1.0
PUSH	imm	-	32	1	0.00	6.00	4.00	0.00	0.00	0.00	0.00	StoreMemoryx1.0 Subx1.0 GetHostGPRx1.0 SetHostGPRx1.0 AdvancePCx1.0
MOVBE	m,r	[b]	64	1	0.00	6.00	3.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 ByteSwapx1.0 StoreMemoryx1.0 GetOperandx1.0 GetHostGPRx1.0
MOV	r,r	-	8	2	0.00	3.00	2.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadUniformx1.0
MOVHLPS	r,r	-	128	2	0.00	3.00	2.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadUniformx1.0
MOV	r,r	-	16	2	0.00	3.00	2.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 BitExtractx1.0
PMULHUW	r,r	-	128	1	0.00	5.00	5.00	0.00	0.00	0.00	0.00	BitCastx2.0 AdvancePCx1.0 VecMulHigh16x1.0 StoreUniformx1.0
CLC	-	-	0	1	0.00	5.00	4.00	0.00	0.00	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 StoreUniformx1.0 SetCarryx1.0
CMPLTSD	r,r	-	128	1	0.00	5.00	6.00	0.00	0.00	0.00	0.00	LoadUniformx2.0 AdvancePCx1.0 StoreUniformx1.0 VecFCmpMaskx1.0
ADDSD	r,r	-	128	1	0.00	5.00	53.00	0.00	0.01	0.00	0.00	AdvancePCx1.0 VecFAddScalar64x1.0 StoreUniformx1.0 BitCastx1.0 LoadUniformx1.0
STC	-	-	0	1	0.00	5.00	4.00	0.00	0.00	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 StoreUniformx1.0 SetCarryx1.0
MOVNTI	m,r	[b+d]	64	1	0.00	5.00	4.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 GetOperandx1.0 GetHostGPRx1.0 StoreMemoryx1.0 LoadUniformx1.0
PMULHW	r,r	-	128	1	0.00	5.00	6.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 VecMulHigh16x1.0 LoadUniformx1.0 StoreUniformx1.0 BitCastx1.0
MOVDQU	m,r	[b]	128	1	0.00	5.00	3.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 GetHostGPRx1.0 BitCastx1.0
FILD	m	[rip]	64	1	0.00	5.00	32.00	0.00	0.01	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 LoadImmx1.0 GetUniformAddressx1.0 GetOperandx1.0
FISTP	m	[rip]	64	1	0.00	5.00	33.00	0.00	0.01	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 LoadImmx1.0 GetUniformAddressx1.0 GetOperandx1.0
FLD	r	-	32	1	0.00	5.00	30.00	0.00	0.01	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
FXCH	r	-	32	1	0.00	5.00	31.00	0.00	0.01	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
FSIN	-	-	0	1	0.00	5.00	30.00	0.00	0.01	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
CVTTPS2DQ	r,r	-	128	1	0.00	4.00	16.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 VecFCvtPackedx1.0 StoreUniformx1.0 BitCastx1.0
CVTSD2SI	r,r	-	64	1	0.00	4.00	18.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 VecFCvtFloatToIntx1.0 StoreUniformx1.0 BitCastx1.0
CVTPD2DQ	r,r	-	128	1	0.00	4.00	18.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 VecFCvtPackedx1.0 LoadUniformx1.0
CVTPS2PD	r,r	-	128	1	0.00	4.00	3.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 VecFCvtPackedx1.0 LoadUniformx1.0
CVTDQ2PS	r,r	-	128	1	0.00	4.00	2.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 VecFCvtPackedx1.0 StoreUniformx1.0 BitCastx1.0
CVTPD2PS	r,r	-	128	1	0.00	4.00	2.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 VecFCvtPackedx1.0 StoreUniformx1.0 BitCastx1.0
JGE	imm	-	32	1	0.00	4.00	5.00	0.00	0.00	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CondSelectx1.0
MOVZX	r,r	-	64	1	0.00	4.00	3.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 ZeroExtend64x1.0 LoadUniformx1.0
STD	-	-	0	1	0.00	3.00	2.00	0.00	0.00	0.00	0.00	AdvancePCx1.0 StoreUniformx1.0 LoadImmx1.0
RDTSC	-	-	0	1	0.00	3.00	24.00	0.00	0.01	0.00	0.00	AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
XOR	r,i	-	8	3	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
CMP	m,i	[abs]	32	3	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
XOR	r,m	[b+d]	64	3	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
OR	m,r	[b+i*s+d]	32	3	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
OR	m,i	[b+d]	64	9	0.02	0.00	0.00	0.00	0.00	0.00	0.00	
OR	m,i	[b+i*s+d]	64	6	0.01	0.00	0.00	0.00	0.00	0.00	0.00	

# per-IR-opcode host cost
op	count	%count	host_bytes	%bytes	bytes/inst
LoadImm	41972	15.15	182036	11.12	4.34
AdvancePC	34802	12.56	125360	7.66	3.60
StoreUniform	31613	11.41	126452	7.73	4.00
LoadUniform	16263	5.87	65052	3.97	4.00
GetHostGPR	11527	4.16	3404	0.21	0.30
GetOperand	11519	4.16	110924	6.78	9.63
SaveFlags	11366	4.10	0	0.00	0.00
ZeroExtend32	11129	4.02	44516	2.72	4.00
ZeroExtend64	9710	3.51	38840	2.37	4.00
LoadMemory	9407	3.40	39832	2.43	4.23
Sub	8440	3.05	127172	7.77	15.07
SetHostGPR	7730	2.79	30920	1.89	4.00
BitCast	6784	2.45	0	0.00	0.00
And	6598	2.38	70420	4.30	10.67
Add	6153	2.22	68952	4.21	11.21
SetLocation	5750	2.08	53000	3.24	9.22
CondSelect	5747	2.07	68964	4.21	12.00
StoreMemory	5178	1.87	21704	1.33	4.19
ClearFlags	4576	1.65	0	0.00	0.00
BitExtract	3827	1.38	15308	0.94	4.00
Xor	3407	1.23	36812	2.25	10.80
Nop	2164	0.78	8656	0.53	4.00
Or	2110	0.76	48404	2.96	22.94
Select	2023	0.73	16184	0.99	8.00
PopRSB	1855	0.67	0	0.00	0.00
LslImm	1711	0.62	6844	0.42	4.00
TestFlags	1550	0.56	12740	0.78	8.22
SetCarry	1358	0.49	21664	1.32	15.95
LsrImm	1240	0.45	4960	0.30	4.00
TestNotZero	1154	0.42	9232	0.56	8.00
PushRSB	1141	0.41	36512	2.23	32.00
TestZero	847	0.31	7368	0.45	8.70
BindLabel	656	0.24	0	0.00	0.00
NotGoto	648	0.23	2592	0.16	4.00
SetOverflow	602	0.22	2408	0.15	4.00
LsrValue	588	0.21	2352	0.14	4.00
LslValue	582	0.21	2328	0.14	4.00
AtomicRMW	540	0.19	54024	3.30	100.04
CallLambda	523	0.19	56748	3.47	108.50
GetUniformAddress	378	0.14	1512	0.09	4.00
SignExtend	280	0.10	1120	0.07	4.00
Mul	169	0.06	1532	0.09	9.07
AsrImm	136	0.05	544	0.03	4.00
MulHigh	108	0.04	432	0.03	4.00
AsrValue	94	0.03	376	0.02	4.00
VecZip	81	0.03	324	0.02	4.00
VecShiftRight	80	0.03	1920	0.12	24.00
VecCmpEq	68	0.02	272	0.02	4.00
VecFMinMax	64	0.02	1024	0.06	16.00
VecXor	63	0.02	252	0.02	4.00
VecOr	59	0.02	236	0.01	4.00
VecAnd	57	0.02	228	0.01	4.00
VecMovMask	55	0.02	2420	0.15	44.00
VecFMul	48	0.02	33984	2.08	708.00
VecFAdd	44	0.02	30896	1.89	702.18
CompareAndSwap	40	0.01	4320	0.26	108.00
VecAdd	39	0.01	156	0.01	4.00
VecFUnary	33	0.01	792	0.05	24.00
VecFDiv	32	0.01	24704	1.51	772.00
VecAndNot	28	0.01	112	0.01	4.00
VecCmpGt	26	0.01	104	0.01	4.00
Vec4Add	24	0.01	96	0.01	4.00
VecShuffle32	22	0.01	968	0.06	44.00
AtomicExchange	20	0.01	1840	0.11	92.00
Adc	18	0.01	456	0.03	25.33
VecPack	15	0.01	120	0.01	8.00
VecMulWiden	15	0.01	180	0.01	12.00
Sbb	13	0.00	408	0.02	31.38
AtomicFetchAdd	12	0.00	1200	0.07	100.00
VecMin	12	0.00	48	0.00	4.00
VecExtract64	10	0.00	40	0.00	4.00
VecFCmpMask	9	0.00	76	0.00	8.44
Goto	8	0.00	32	0.00	4.00
ByteSwap	6	0.00	24	0.00	4.00
VecSub	6	0.00	24	0.00	4.00
VecFCvtPacked	5	0.00	136	0.01	27.20
CompareAndSwap128	5	0.00	740	0.05	148.00
VecShiftLeft	5	0.00	100	0.01	20.00
CheckMemoryAlignment	3	0.00	60	0.00	20.00
VecFCvtFloatToInt	2	0.00	136	0.01	68.00
VecMulHigh16	2	0.00	32	0.00	16.00
VecFAddScalar64	1	0.00	204	0.01	204.00
