# guest=45684 ir=276985 host_bytes=1636864 ir/guest=6.06 hostinsn/guest=8.96 dyn_total=650398

mnemonic	form	mem	bits	n	%n	ir/g	hostI/g	%IR	%host	dyn%	dyn_host%	top IR ops (per guest insn)
AND	r,r	-	64	51	0.11	8.39	8.59	0.15	0.11	0.01	0.01	StoreUniformx2.0 BitCastx1.9 AdvancePCx1.0 LoadImmx1.0 ClearFlagsx1.0
MOVZX	r,r	-	32	82	0.18	5.12	4.27	0.15	0.09	1.50	0.74	ZeroExtend32x1.7 ZeroExtend64x0.9 AdvancePCx0.9 StoreUniformx0.8 LoadUniformx0.5
JBE	imm	-	32	71	0.16	5.90	9.06	0.15	0.16	0.57	0.59	LoadImmx2.0 Orx0.7 CondSelectx0.7 TestNotZerox0.7 Xorx0.7
CMP	m,i	[rip]	32	52	0.11	8.00	17.00	0.15	0.22	0.01	0.02	LoadImmx2.1 StoreUniformx1.0 Subx1.0 SaveFlagsx1.0 LoadMemoryx1.0
JB	imm	-	8	95	0.21	4.32	6.18	0.15	0.14	2.57	1.82	LoadImmx1.1 TestNotZerox0.9 TestFlagsx0.9 Xorx0.9 AdvancePCx0.4
PSRLQ	r,i	-	128	80	0.18	5.00	8.12	0.14	0.16	0.00	0.00	LoadImmx1.0 AdvancePCx1.0 VecShiftRightx1.0 StoreUniformx1.0 BitCastx0.9
ADD	r,r	-	32	44	0.10	8.64	15.02	0.14	0.16	0.09	0.16	StoreUniformx1.7 BitExtractx1.1 ZeroExtend64x0.9 ZeroExtend32x0.9 AdvancePCx0.9
JAE	imm	-	8	86	0.19	4.40	6.29	0.14	0.13	0.51	0.37	LoadImmx1.1 TestZerox1.0 TestFlagsx1.0 Xorx0.9 AdvancePCx0.5
MOVSXD	r,r	-	64	99	0.22	3.76	2.82	0.13	0.07	0.02	0.01	SignExtendx0.9 AdvancePCx0.9 StoreUniformx0.9 LoadUniformx0.5 BitExtractx0.3
MOV	m,i	[rip]	64	90	0.20	4.00	4.62	0.13	0.10	0.01	0.01	LoadImmx1.4 AdvancePCx1.0 StoreMemoryx1.0 GetOperandx0.6
CMOVA	r,r	-	64	33	0.07	10.91	13.58	0.13	0.11	0.01	0.02	LoadImmx1.8 BitCastx1.0 Andx0.9 AdvancePCx0.9 CondSelectx0.9
SHL	r,r	-	32	22	0.05	16.36	17.55	0.13	0.09	0.01	0.01	Andx2.2 LsrImmx1.5 LslValuex1.5 StoreUniformx1.4 LoadUniformx1.0
CMP	m,i	[b+i*s+d]	8	16	0.04	22.00	26.44	0.13	0.10	0.04	0.11	Subx3.6 SaveFlagsx3.0 LoadImmx3.0 LslImmx2.0 ZeroExtend32x2.0
MOV	r,m	[b+i*s+d]	32	44	0.10	7.84	6.80	0.12	0.07	0.17	0.13	BitCastx1.0 AdvancePCx0.9 StoreUniformx0.9 ZeroExtend64x0.9 LoadMemoryx0.9
MOVQ	r,r	-	128	75	0.16	4.40	2.96	0.12	0.05	0.07	0.02	StoreUniformx1.8 AdvancePCx0.9 LoadImmx0.9 BitCastx0.6 LoadUniformx0.3
PMOVMSKB	r,r	-	32	55	0.12	6.00	14.15	0.12	0.19	0.03	0.05	AdvancePCx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0 VecMovMaskx1.0 StoreUniformx1.0
AND	r,r	-	32	33	0.07	9.73	12.42	0.12	0.10	0.00	0.00	StoreUniformx1.8 ZeroExtend32x0.9 AdvancePCx0.9 LoadImmx0.9 Andx0.9
NEG	r	-	64	40	0.09	8.00	14.60	0.12	0.14	0.01	0.01	LoadImmx2.0 StoreUniformx2.0 SaveFlagsx1.0 Subx1.0 AdvancePCx1.0
LEA	r,m	[b+i*s+d]	32	62	0.14	5.11	4.42	0.11	0.07	0.19	0.10	AdvancePCx0.7 ZeroExtend64x0.7 ZeroExtend32x0.7 GetOperandx0.7 StoreUniformx0.7
PXOR	r,r	-	128	66	0.14	4.77	3.70	0.11	0.06	0.12	0.05	LoadUniformx1.8 StoreUniformx1.0 AdvancePCx1.0 VecXorx1.0 BitCastx0.1
MOVUPS	m,r	[b+d]	128	75	0.16	4.20	3.80	0.11	0.07	0.02	0.01	AdvancePCx0.8 GetOperandx0.8 StoreMemoryx0.8 BitCastx0.8 GetHostGPRx0.5
JS	imm	-	8	90	0.20	3.47	5.13	0.11	0.11	1.02	0.60	LoadImmx2.1 CondSelectx1.0 AdvancePCx0.3
OR	r,m	[rip]	32	28	0.06	11.04	13.25	0.11	0.09	0.00	0.01	StoreUniformx1.8 ZeroExtend64x1.0 ClearFlagsx1.0 ZeroExtend32x1.0 GetOperandx1.0
MOV	r,m	[b+i*s+d]	64	48	0.11	6.35	5.31	0.11	0.06	0.01	0.01	AdvancePCx1.0 StoreUniformx1.0 LoadMemoryx1.0 GetOperandx1.0 BitCastx0.9
ADD	r,m	[b+d]	64	30	0.07	10.00	17.63	0.11	0.13	0.01	0.03	StoreUniformx2.0 LoadUniformx1.1 AdvancePCx1.0 LoadImmx1.0 GetOperandx1.0
OR	m,i	[rip]	32	27	0.06	10.78	19.44	0.11	0.13	0.00	0.00	GetOperandx2.0 LoadImmx2.0 StoreUniformx1.0 StoreMemoryx1.0 ClearFlagsx1.0
CMOVNZ	r,r	-	32	29	0.06	10.00	12.00	0.10	0.09	0.01	0.02	LoadImmx2.0 BitExtractx1.2 StoreUniformx1.0 ZeroExtend64x1.0 ZeroExtend32x1.0
FLD1	-	-	0	57	0.12	5.00	30.00	0.10	0.42	0.00	0.00	LoadImmx2.0 AdvancePCx1.0 CallLambdax1.0 GetUniformAddressx1.0
INC	r	-	32	20	0.04	13.50	23.50	0.10	0.11	0.00	0.00	StoreUniformx2.0 LoadImmx2.0 LoadUniformx1.7 ZeroExtend64x1.0 ZeroExtend32x1.0
MASKMOVDQU	r,r	-	128	2	0.00	130.00	143.00	0.09	0.07	0.00	0.00	Andx32.0 LsrImmx28.0 StoreMemoryx16.0 NotGotox16.0 BindLabelx16.0
MOV	m,i	[b+d]	8	52	0.11	5.00	4.65	0.09	0.06	0.02	0.01	AdvancePCx1.0 StoreMemoryx1.0 GetOperandx1.0 LoadImmx1.0 GetHostGPRx0.6
OR	r,i	-	8	16	0.04	16.00	17.56	0.09	0.07	0.00	0.00	Andx3.0 StoreUniformx2.0 Orx2.0 LoadImmx2.0 LoadUniformx1.6
PUNPCKLQDQ	r,r	-	128	60	0.13	4.25	3.22	0.09	0.05	0.07	0.02	LoadUniformx1.5 AdvancePCx0.8 StoreUniformx0.8 VecZipx0.8 BitCastx0.2
POR	r,r	-	128	51	0.11	5.00	2.04	0.09	0.03	0.01	0.00	BitCastx2.0 AdvancePCx1.0 VecOrx1.0 StoreUniformx1.0 LoadUniformx0.0
CMPXCHG	m,r	[b]	32	14	0.03	18.00	54.79	0.09	0.19	0.00	0.00	StoreUniformx2.0 Andx2.0 BitExtractx2.0 ZeroExtend32x1.0 TestZerox1.0
AND	m,i	[rip]	32	24	0.05	10.50	16.75	0.09	0.10	0.00	0.00	GetOperandx2.0 LoadImmx2.0 StoreUniformx1.0 StoreMemoryx1.0 ClearFlagsx1.0
MOVAPS	m,r	[b+d]	128	50	0.11	5.00	5.20	0.09	0.06	7.56	4.51	AdvancePCx1.0 GetOperandx1.0 StoreMemoryx1.0 LoadUniformx1.0 GetHostGPRx0.7
SUB	r,m	[b+d]	64	25	0.05	10.00	16.88	0.09	0.10	0.00	0.00	StoreUniformx2.0 AdvancePCx1.0 LoadImmx1.0 SaveFlagsx1.0 Subx1.0
JS	imm	-	32	68	0.15	3.66	5.31	0.09	0.09	0.01	0.00	LoadImmx2.4 CondSelectx1.0 AdvancePCx0.3
CMP	m,r	[b+d]	64	42	0.09	5.79	10.07	0.09	0.10	0.01	0.01	StoreUniformx0.6 AdvancePCx0.6 LoadImmx0.6 SaveFlagsx0.6 Subx0.6
JLE	imm	-	8	71	0.16	3.39	5.15	0.09	0.09	0.00	0.00	LoadImmx2.2 CondSelectx1.0 AdvancePCx0.2
CMOVBE	r,r	-	64	20	0.04	12.00	15.10	0.09	0.07	0.00	0.00	LoadImmx2.0 BitCastx1.1 StoreUniformx1.0 Orx1.0 CondSelectx1.0
TEST	m,i	[b+d]	8	21	0.05	11.00	18.71	0.08	0.10	0.01	0.01	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 GetOperandx1.0 ClearFlagsx1.0
TEST	m,i	[b]	8	21	0.05	11.00	17.00	0.08	0.09	0.01	0.03	LoadImmx2.0 StoreUniformx1.0 SaveFlagsx1.0 ClearFlagsx1.0 Orx1.0
PCMPEQB	r,r	-	128	46	0.10	5.00	2.70	0.08	0.03	0.03	0.01	BitCastx1.3 AdvancePCx1.0 StoreUniformx1.0 VecCmpEqx1.0 LoadUniformx0.7
